Text,isSpam
"Bonjour.
Nous venons visiter nos parents ages a Besle et esperons pouvoir loger dans votrd joli gite.
Cordialement",0
"Bonjour,
Je viens vers vous, orientée par Christine Hainaut, pour un stage qui se déroulerait du samedi 28 au soir au mardi 31 octobre l'après midi dans votre petit gîte du Langon.
J'attends que vous me confirmiez qu'il est possible de retenir ces dates pour vous envoyer un chèque d’arrhes.
Bien cordialement
Laurence
PS: j'ai aussi laissé un message vocal sur le n° de portable communiqué par Christine",0
"Bonjour,ce petit gîte a l'air bien chouette et adapté à mon besoin de moment &quot;ressource&quot;. Peut-on déjà allumer le pôele ? Cordialement, Anaïs.",0
"Bonjour, 

Je viens de découvrir votre petit gite sur internet qui nous plait beaucoup. 
Nous aimerions venir à partir du 12 ou 13 octobre jusqu'au 17 ou 18 octobre au minimum. 
Merci de me dire si le gite sera disponible pour ces dates .
Mon compagnon étant insuffisant respiratoire il ne pourra probablement pas monter l'escalier, pourra t'il dormir sur le canapé ??
Peut on accéder au gite en voiture directement??
Au plaisir d'avoir plus d'informations.
Cordialement
Eliane Martin",0
"Bonjour,

Nous nous sommes parlées ce midi au sujet de ma réservation.
Il s'agit d'un séjour-retraite proposé par Christine.
Cordialement
Magda Mrowiec",0
"Bonjour, 
Avant de réserver pour la période du 22/12 au 27/12, nous souhaiterions connaître le prix pour 3 personnes ?
Nous avons un petit chien de 6 kgs. Cela pose-t-il problème ? Elle est très calme et très propre.
Merci pour votre réponse.
Bon dimanche.
Mme Daix",0
"Bonjour, je souhaiterais obtenir une information sur le tarif pour une période du 23 novembre 2017 au 26 décembre 2017.c'est une pèriode longue, c'est pour cela que je m'oriente vers un gîte, en espérant que le tarif me soit accessible.
Nous participons au marché de noel de rennes. Nous sommes originaires de normandie, voilà pourquoi nous recherchons un pieds à terre pour cette période.
Nous serons entre 1 et 3 adultes, et un enfant de 3 ans durant le séjour.
j'attends votre réponse précieusement.
Bien cordialement
",0
"Bonjour, je souhaiterais louer votre petit gîte, pour 2, et peut être une amie passera. Je cherche avant tout le calme, la discretion, s’isoler du monde. 
Est ce bien disponible a ces dates? Et combien me faites vous payer pour cette periode?
Cordialement
Simon",0
"Bonjour,
suite à notre petit séjour chez vous avec mes enfants nous avons très envie de revenir séjourné plus longtemps dans votre petit gite.
En espérant que mes dates de congés ne soit pas modifiées pour  cette été. 
J'aimerai si cela est possible réserver du samedi 14/07/2018 au vendredi 27/07/2018.
Au plaisir
christelle ",0
"Bonjour,
M&amp;M Bontemps nous souhaitons reloué votre gite pour ces dates du mois de Mai.
Bonne réception,
Cordialement,
Jean Pierre",0
